NUMERO,DESCRICAO,FAMILIA,PRECO1,PRECOVENDA,STOCK,MARGEM
58,CAIXA REGISTADORA SAMSUNG ER-5115  1X1 UN,OUTROS/DIVERSOS,"67.500,00",67.500,"1,00","0,00%"

59,TINTEIRO CORES P/IMPRESSORA (C1823A) 1X1 UN,OUTROS/DIVERSOS,"2.169,00",2.169,"12,00","0,00%"

60,CARV_O VEGETAL ( AMIGOS DA NATUR. ) 1X3 KG,OUTROS/DIVERSOS,"234,99",235,"2,00","0,00%"

61,MASCARA CAPILAR C/KERATINA AMALFI 12X500 ML,cosmeticos,"2.118,05",2.121,"1,00","0,14%"

62,FARINHA TRIGO AFRIJOR IMP. 1X25 KG,Alimentos,"1.086,76",1.089,"275,44","0,21%"

63,T_MARA NATURAL SAGES 1X5 KG,CONFEITARIAS,"1.923,25",1.935,"1,02","0,61%"

64,LUVAS NITRILO TOUCH AZUL MEDIA M7/8 1X100 UN,OUTROS/DIVERSOS,"530,76",535,"1,00","0,80%"

65,VINHO MOSCATEL DE SETUBAL JMF 6X75 CL,alcoolicas,"5.472,17",5.521,"4,00","0,89%"

66,CH_ LIPTON NOITE TRANQUILA 12X20 UN,Alimentos,"1.473,29",1.487,"11,75","0,93%"

67,GEL BANHO AMALFI DERMO 16X750 ML,cosmeticos,"2.186,81",2.208,"6,75","0,97%"

68,IOGURTE DRINK NAARMANN  PCT 12X1 LT,Alimentos,"1.781,43",1.799,"1,50","0,99%"

69,CAIXA PLAST. CONJ. 3 SAVIL R-11 QUADRADO 12X1UN,OUTROS/DIVERSOS,"2.817,42",2.848,"0,50","1,09%"

70,SUMO MOCITOS BANANA PCT 12X1 LT,n_alcool,"1.323,53",1.338,"0,50","1,09%"

71,LINGUI_A VACUO SINTRA 1X1 KG,Alimentos,"554,79",561,"3,38","1,12%"

72,CERVEJA SUPER BOCK GRA 30X25 CL,alcoolicas,"2.145,22",2.173,"0,83","1,29%"

73,GR_O BICO TREVI LATA 12X820 GR,Alimentos,"1.130,05",1.147,"0,83","1,50%"

74,RODO DE ESPONJA C/CABO 6X1 UN,OUTROS/DIVERSOS,"1.082,15",1.100,"1,00","1,65%"

75,FEIJ_O CONGO VERDE LA BONITA LTA 24X420 GR,Alimentos,"2.464,42",2.510,"0,50","1,85%"

76,CRAVINHO MOIDO AVULSO 1X1 KG,ESPECIARIAS,"2.650,44",2.700,"0,30","1,87%"

77,AZEITE SERRATA 1_ LTA 40X200 ML,Alimentos,"4.254,03",4.339,"22,75","2,00%"

78,GUARDANAPO JET7 005 (30X30 ) SIMPLES 60X1 UN,PRODUTOS DE HIGIENE LIMPEZA,"2.680,39",2.735,"0,52","2,04%"

79,VINHO FOGO BRANCO PASSITO SODADE 12X375 ML,alcoolicas,"7.304,35",7.461,"2,50","2,14%"

80,VINHO QUINTA S. SIM_O AGUIEIRA TINTO 6X75 CL,alcoolicas,"6.148,46",6.291,"11,00","2,32%"

81,SUMO MOCITOS MANGA GFA 12X250 ML,n_alcool,"623,79",639,"0,92","2,44%"

82,BOL. TIFFANY ( COOKIE ) DLT 36X100 GR,Alimentos,"2.727,65",2.796,"0,33","2,51%"

83,FEIJ_O SECO PEDRA TREVI 20X500 GR,Alimentos,"1.497,41",1.539,"12,00","2,78%"

84,LEITE EM PO ARMANTI LTA 12X900GR,Alimentos,"6.085,68",6.259,"4,00","2,85%"

85,CIGARROS MARLBORO RED EMB. 10 MA_OS,TABACOS,"2.295,35",2.362,"330,00","2,90%"

86,LEITE LIQ. M/GORDO VIDA 6X1 LT,Alimentos,"436,88",450,"10,00","3,00%"

87,DENT. COLGATE TOTAL 12X75 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.836,36",1.896,"0,34","3,25%"

88,LEITE BATIDO ARMANTI CHOC. 20X480 ML,Alimentos,"2.168,39",2.239,"111,75","3,26%"

89,BACALHAU CRESCIDO NORUEGA CORTADA 1X1 KG,Alimentos,"1.275,04",1.317,"0,14","3,29%"

90,LEITE LIQ. MAGRO INCOLAC 12X1 LT,Alimentos,"1.033,92",1.069,"0,68","3,39%"

91,VINHO GRANDJ_ BRANCO MEIO DOCE 6X75 CL,alcoolicas,"4.153,22",4.300,"2,50","3,53%"

92,VINHO POUCA ROUPA ALENTEJO TINTO 6X75 CL,alcoolicas,"4.812,72",4.990,"22,50","3,68%"

93,DOCE CEREJA TREVI FR. 8X340 GR,Alimentos,"921,02",956,"1,00","3,80%"

94,MARGARINA PLANTA  16X450 GR,Alimentos,"1.877,24",1.949,"1,00","3,82%"

95,RA__O MISTURA P/PAPAGAIO 1X5 KG,Alimentos,"664,48",690,"8,62","3,84%"

96,LEITE EM PO ARMANTI LTA 24X400GR,Alimentos,"5.660,23",5.879,"85,83","3,87%"

97,LEITE EM PO ARMANTI BOLSA 40X250 GR,Alimentos,"5.774,08",5.999,"24,37","3,90%"

98,AZEITE SERRATA 1_ LTA 20X1 LT,Alimentos,"9.251,54",9.615,"9,40","3,93%"

99,VINHO QT_.TERRUGEM ALENTEJO TINTO 6X75 CL,alcoolicas,"9.633,39",10.024,"2,00","4,05%"

100,VINHO D_O TERRAS ALTAS TINTO 6X75 CL,alcoolicas,"3.801,33",3.956,"4,00","4,07%"

101,IOGURTE DRINK NAARMANN  PCT 24X200 ML,Alimentos,"1.143,13",1.190,"0,68","4,10%"

102,RUM HAVANA CLUB ESPECIAL 6X75 CL,alcoolicas,"5.663,23",5.906,"2,50","4,29%"

103,VINHO PERA DOCE REGIONAL BRANCO 6X75 CL,alcoolicas,"2.548,97",2.660,"24,67","4,36%"

104,GEL WC FRESCOR PINHO DESTELLO 16X750 ML,PRODUTOS DE HIGIENE LIMPEZA,"2.098,77",2.191,"0,50","4,39%"

105,ROLO PAPEL AUTOCOLANTE 10X1 ROL,OUTROS/DIVERSOS,"12.767,00",13.329,"71,20","4,40%"

106,RUM HAVANA CLUB RESERVA 6X70 CL,alcoolicas,"7.037,86",7.356,"59,50","4,52%"

107,VINHO BORBA DOC TINTO 6X75 CL,alcoolicas,"3.418,04",3.573,"42,00","4,53%"

108,BOL. OREO BAN. COBERT. CACAU 10X246 GR,Alimentos,"2.674,47",2.796,"1,80","4,54%"

109,PAPEL TERMICO (57x70x11) 10X1 ROL,OUTROS/DIVERSOS,"798,23",835,"151,50","4,61%"

110,SULTANA ORANGE GLOBO 12X90 GR,CONFEITARIAS,"801,88",839,"0,25","4,63%"

111,VINHO D_O MEIA ENCOSTA TINTO 6X75 CL,alcoolicas,"3.500,67",3.665,"8,50","4,69%"

112,HAMBURGER VACA ASA 1X1 KG,Alimentos,"738,16",773,"3,00","4,72%"

113,"TOMATE, POLPA TOP 12X500 ML",Alimentos,"784,90",822,"17,75","4,73%"

114,GEL BANHO AXE GOLD TEMPTATION 6X250ML,cosmeticos,"1.568,10",1.643,"2,00","4,78%"

115,VODKA SMIRNOFF RED 12X75 CL,alcoolicas,"10.258,12",10.751,"12,67","4,80%"

116,A_UCAR DE CANA 1X50 KG,Alimentos,"2.533,17",2.655,"388,07","4,81%"

117,AZEITE SERRATA 1_ LTA 20X500 ML,Alimentos,"4.893,20",5.129,"25,70","4,82%"

118,RUM HAVANA CLUB RES. 7ANOS 6X75 CL,alcoolicas,"12.116,37",12.710,"31,33","4,90%"

119,AGUA COCO NATURAL /MANGA MAAZA 12X1LT,n_alcool,"2.563,26",2.691,"2,25","4,98%"

120,"DET. LAVA LOU_A FAIRY ULTRA LIM_O 9X1,19 LT",PRODUTOS DE HIGIENE LIMPEZA,"3.887,60",4.082,"5,00","5,00%"

121,AZEITE CAMPONES GARRAFAO PET. 6X3 LT,Alimentos,"6.512,03",6.839,"5,83","5,02%"

122,"DROPS CAFE PEROLA REF_ 623 1X1,5 KG",CONFEITARIAS,"657,89",691,"9,00","5,03%"

123,PAPEL TERMICO (44x70x11) 10X1 ROL,OUTROS/DIVERSOS,"550,00",578,"39,30","5,09%"

124,CERVEJA PRIMA LATA 24X33 CL,alcoolicas,"1.371,31",1.443,"125,84","5,23%"

125,VINHO PORTADA BRANCO 6X75 CL,alcoolicas,"2.605,04",2.743,"12,00","5,30%"

126,VINHO PORTADA TINTO 6X75 CL,alcoolicas,"2.605,01",2.743,"54,50","5,30%"

127,LEITE EM PO ARMANTI LTA 6X1.8 KG,Alimentos,"5.906,30",6.239,"11,00","5,63%"

128,LEITE EM PO INCOLAC BOLSA 40X250 GR,Alimentos,"5.370,71",5.679,"77,53","5,74%"

129,TOSTA MINIGRILL INTEGRAL 20X90 GR,Alimentos,"1.287,01",1.361,"0,75","5,75%"

130,LEITE EM PO INCOLAC BOLSA 12X1 KG,Alimentos,"6.012,09",6.359,"98,75","5,77%"

131,DET. P_ WOW LIMA 12X400 GR,PRODUTOS DE HIGIENE LIMPEZA,"994,12",1.052,"301,75","5,82%"

132,FEIJ_O ERVILHA c/CEN. NOLIKO 12X425 GR,Alimentos,"1.035,58",1.096,"0,33","5,83%"

133,LEITE EM PO INCOLAC BOLSA 24X500 GR,Alimentos,"6.140,35",6.499,"187,55","5,84%"

134,LEITE LIQ. M/GORDO NOVA A_ORES 6X1 LT,Alimentos,"448,65",475,"2,31","5,87%"

135,"CEREAL, ESTRELINHAS AMANHECER 12X375 GR",Alimentos,"1.566,08",1.660,"0,17","6,00%"

136,CERVEJA SUPER BOCK ABADIA GRA 24X33 CL,alcoolicas,"2.295,24",2.434,"22,50","6,05%"

137,VINHO VILA R_GIA DOURO TINTO 6X75 CL,alcoolicas,"3.737,92",3.964,"14,00","6,05%"

138,DROPS DORI RECH. BOL. TUTI-FRUTI (R_ 333) 30X150GR,CONFEITARIAS,"1.463,19",1.552,"2,03","6,07%"

139,VINAGRE DE FRUTA LEND_RIO 15X75 CL,Alimentos,"593,87",630,"5,07","6,08%"

140,FARINHA TRIGO MOAVE 1X25 KG,Alimentos,"1.121,50",1.190,"90,04","6,11%"

141,SALSICHAS ISIDORO LTA 12X6 UN,Alimentos,"539,86",573,"1,92","6,14%"

142,DET. P_ WOW LIMA 12X800 GR,PRODUTOS DE HIGIENE LIMPEZA,"1.953,12",2.074,"109,58","6,19%"

143,CERVEJA SUPER BOCK MINI GFA 24X20 CL,alcoolicas,"1.440,45",1.530,"5.574,82","6,22%"

144,MOLHO MOSTARDA TREVI 6X1KG,Alimentos,"1.267,48",1.347,"1,00","6,27%"

145,LEITE EM PO INCOLAC SACO 1X25 KG,Alimentos,"9.768,25",10.389,"454,00","6,35%"

146,OLEO DE SOJA FULA 12X1 LT,Alimentos,"1.221,26",1.299,"1.506,27","6,37%"

147,CH_ LIPTON VERDE CLASSICO 12X20 UN,Alimentos,"1.397,97",1.487,"0,25","6,37%"

148,DESOD. SPRAY AMALFI FOREST BLACK 8X150 ML,cosmeticos,"808,05",860,"12,00","6,43%"

149,DESOD. SPRAY AMALFI GOLDEN PEARL 8X150 ML,cosmeticos,"807,95",860,"9,50","6,44%"

150,DESOD. SPRAY  AMALFI B WAVES 8X150 ML,cosmeticos,"807,92",860,"14,25","6,45%"

151,DESOD. ROLL-ON SANEX DER. EX.CONT. RF_551  6X50 ML,cosmeticos,"766,58",816,"0,50","6,45%"

152,CACHA_A VAT 45 OURO CONTI GFA 12X970ML,alcoolicas,"5.877,31",6.261,"2,00","6,53%"

153,VINHO ESP. FITA AZUL WOMAN DOCE 3X75 CL,alcoolicas,"3.320,84",3.538,"1,00","6,54%"

154,CEREAL CHOCAPIC NESTLE 14X375 GR,Alimentos,"2.029,93",2.165,"5,86","6,65%"

155,VINHO FOGO ROSE SODADE 12X375 ML,alcoolicas,"3.599,12",3.839,"10,25","6,66%"

156,LEITE LIQ. M/GORDO INCOLAC 12X1 LT,Alimentos,"1.029,48",1.099,"0,16","6,75%"

157,DESOD. ROLL-ON SANEX MEN ACTIV.(RF 360) 6X50ML,cosmeticos,"764,32",816,"2,00","6,76%"

158,LEITE LIQ. GORDO INCOLAC 12X1 LT,Alimentos,"1.160,45",1.239,"0,43","6,77%"

159,AMENDOIM PELLITO BOLSA 25X200 GR,Alimentos,"2.803,35",2.994,"7,00","6,80%"

160,DENT. COLGATE TRIPLA AC__O 12X75 ML,PRODUTOS DE HIGIENE LIMPEZA,"959,63",1.025,"1,25","6,81%"

161,FEIJ_O SECO MANTEIGA EXTRA 1X5 KG,Alimentos,"953,67",1.019,"1,28","6,85%"

162,VINHO PENEDO GORDO REGIONAL BC_ 6X75 CL,alcoolicas,"2.590,23",2.768,"25,50","6,86%"

163,VINHO ESP. ALIAN_A DANUBIO BRUTO 6X75 CL,alcoolicas,"4.791,71",5.121,"9,75","6,87%"

164,FARINHA BRINTA MA__/PASSA DE UVA 8X250 GR,Alimentos,"1.544,73",1.651,"0,37","6,88%"

165,VINHO PENEDO GORDO REGIONAL BRANCO 12X375 ML,alcoolicas,"3.297,53",3.525,"17,50","6,90%"

166,SAL FINO MESA IODADO SALDOMAR 20X250 GR,Alimentos,"720,00",770,"9,00","6,94%"

167,DENT. COLGATE HERBAL WHITE 12X75 ML,PRODUTOS DE HIGIENE LIMPEZA,"958,42",1.025,"2,50","6,95%"

168,BOL. MARIA TOP 4 PACK 12X800 GR,Alimentos,"1.885,84",2.017,"0,64","6,95%"

169,ALHO EM GRAO IMPORT. 1X1 KG,ESPECIARIAS,"205,68",220,"564,72","6,96%"

170,"PASTILHA ELAST. GORILA MENTA 1X1,5 KG",CONFEITARIAS,"971,37",1.039,"2,02","6,96%"

171,GEL BANHO AXE DARK TEMPTATION 12X250ML,cosmeticos,"3.072,00",3.286,"2,00","6,97%"

172,GEL BANHO AXE SPORT BLAST 12X250ML,cosmeticos,"3.072,00",3.286,"1,00","6,97%"

173,GEL BANHO AXE PROVOCATION  12X250ML,cosmeticos,"3.072,00",3.286,"1,00","6,97%"

174,GEL BANHO AXE PEACE  12X250ML,cosmeticos,"3.072,00",3.286,"0,17","6,97%"

175,GEL BANHO AXE RE- LOAD 2 EM 1  12X250ML,cosmeticos,"3.072,00",3.286,"2,25","6,97%"

176,GEL BANHO AXE BLACK 6X250ML,cosmeticos,"1.536,00",1.643,"3,83","6,97%"

177,GEL BANHO AXE ANARCHY 12X250ML,cosmeticos,"3.072,00",3.286,"0,50","6,97%"

178,FARINHA NESTUM ARROZ 8X300 GR,Alimentos,"1.893,10",2.025,"2,00","6,97%"

179,FARINHA NESTUM CHOCOLATE 14X250 GR,Alimentos,"1.605,00",1.717,"7,50","6,98%"

180,FARINHA MAIZENA KOOPMANS 10X400 GR,Alimentos,"901,00",964,"7,40","6,99%"

181,DENT. COLGATE DENTAGARD PLANTAS 12X75 ML,PRODUTOS DE HIGIENE LIMPEZA,"958,00",1.025,"6,00","6,99%"

182,FARINHA NESTUM BOLACHA MARIA 14X250 GR,Alimentos,"1.643,00",1.758,"4,07","7,00%"

183,FARINHA NESTUM 5 CEREAIS 14X250 GR,Alimentos,"1.385,00",1.482,"3,09","7,00%"

184,FARINHA NESTUM MEL CEREAIS INTEGRAIS 14X250 GR,Alimentos,"1.484,00",1.588,"5,07","7,01%"

185,AMENDOIM PELLITO BOLSA 25X100 GR,Alimentos,"1.498,00",1.603,"7,00","7,01%"

186,CEREAL NESQUIK NESTLE 12X375 GR,Alimentos,"2.040,00",2.183,"8,00","7,01%"

187,CABIDE PLASTICO PACK5 10X5UN,OUTROS/DIVERSOS,"889,63",952,"3,50","7,01%"

188,VASSOURA BARCELONA 1X12 UN,OUTROS/DIVERSOS,"1.897,00",2.030,"7,00","7,01%"

189,PASTA NUSICA AVEL_/LEITE 6X750 GR,Alimentos,"1.652,00",1.768,"5,50","7,02%"

190,A_UCAR PILE SILVER SPOON 10X500 GR,Alimentos,"1.180,00",1.263,"21,00","7,03%"

191,BOL. CUETERA KRIT C/QUEIJO 15X125 GR,Alimentos,"1.194,00",1.278,"10,00","7,04%"

192,SABON. DOVE CREAM OIL 12X100 GR,cosmeticos,"1.080,00",1.156,"0,33","7,04%"

193,FARINHA CERELAC SIMPLES 9X250 GR,Alimentos,"936,00",1.002,"5,00","7,05%"

194,SALSICHAS ISIDORO 10UN 12X350 GR,Alimentos,"864,00",925,"14,00","7,06%"

195,SALSICHAS ISIDORO LTA 12X8 UN,Alimentos,"737,89",790,"11,33","7,06%"

196,MASSA ESPARG. INTEGRAL 100% 24X500 GR,Alimentos,"2.954,91",3.164,"14,00","7,08%"

197,PANO LIMPAR P_ (50x50) 12X1 UN,OUTROS/DIVERSOS,"635,00",680,"13,00","7,09%"

198,CAIXA PLAST. CONJ. 3 SAVIL R-30 RETANGULAR 12X1UN,OUTROS/DIVERSOS,"2.659,28",2.848,"0,25","7,10%"

199,AMAC. ROUPA BC_ FLOR ROSAS 9X2 LT,cosmeticos,"848,76",909,"10,00","7,10%"

200,AGUA COCO NATURAL MAAZA 12X1LT,n_alcool,"2.610,51",2.796,"3,25","7,11%"

201,LIXIVIA LAVA FORTI 12X1 LT,OUTROS/DIVERSOS,"450,00",482,"5,58","7,11%"

202,VINHO PENEDO GORDO REGIONAL TINTO 12X375 ML,alcoolicas,"3.290,12",3.525,"11,58","7,14%"

203,DET. GEL CIF CASA BANHO 12X75 CL,OUTROS/DIVERSOS,"1.886,84",2.022,"12,50","7,16%"

204,CH_ LIPTON DETOX 12X20 UN,Alimentos,"1.387,47",1.487,"7,50","7,17%"

205,VINHO MATEUS ROSE 6X75 CL,alcoolicas,"3.470,97",3.721,"19,50","7,20%"

206,MAYONAISE ZAANSE FRASCO 12X500 ML,Alimentos,"1.620,00",1.738,"5,00","7,28%"

207,CERVEJA SUPER BOCK GRA 24X25 CL,alcoolicas,"1.722,49",1.848,"363,21","7,29%"

208,LEITE LIQ. GORDO MIMOSA 6X1 LT,Alimentos,"623,45",669,"0,49","7,31%"

209,"DROPS (REBU_.) MENTOL LUSITECA (R_624) 1X1,5 KG",CONFEITARIAS,"643,93",691,"1,00","7,31%"

210,CERVEJA CARLSBERG GFA 24X25 CL,alcoolicas,"1.891,42",2.030,"41,50","7,33%"

211,LEITE EM PO INCOLAC SACO 1X10 KG,Alimentos,"4.033,36",4.329,"458,30","7,33%"

212,LEITE BATIDO ARMANTI MORANGO 20X480 ML,Alimentos,"2.084,86",2.239,"101,45","7,39%"

213,LEITE LIQ. M/GORDO CALCIO MIMOSA 6X1 LT,Alimentos,"613,56",659,"3,00","7,41%"

214,VINHO VINHA D'ERVIDEIRA ALENTEJO TINTO 6X75CL,alcoolicas,"6.014,51",6.460,"24,50","7,41%"

215,VINHO VINHA DO MONTE ALENTEJO TINTO 6X75 CL,alcoolicas,"4.986,44",5.356,"7,83","7,41%"

216,VASSOURA ESPANADOR DT_ (12- B) C/CABO 1X12 UN,OUTROS/DIVERSOS,"1.350,76",1.451,"3,00","7,42%"

217,VINHO PENEDO GORDO DOC TINTO 6X75 CL,alcoolicas,"3.272,71",3.516,"40,00","7,43%"

218,VASSOURA ESPANADOR DT_ N_ 14 C/CABO 1X12 UN,OUTROS/DIVERSOS,"1.788,37",1.922,"0,25","7,47%"

219,VINHO PENEDO GORDO REGIONAL TINTO 6X75 CL,alcoolicas,"2.574,75",2.768,"56,33","7,51%"

220,VINHO EVEL DOURO TINTO 6X75 CL,alcoolicas,"3.999,29",4.300,"5,00","7,52%"

221,CACHA_A VAT 45 OURO PRATA GFA 12X970ML,alcoolicas,"5.531,50",5.948,"1,25","7,53%"

222,DET. CIF SPRAY LIMPA FORNOS E GRELHAS 12X50 CL,PRODUTOS DE HIGIENE LIMPEZA,"3.415,51",3.674,"0,42","7,57%"

223,VINHO NORDESTE BAG IN BOX BRANCO 1X5 LT,alcoolicas,"814,70",877,"4,00","7,65%"

224,DOCE ABOBORA TREVI FR. 6X340 GR,Alimentos,"665,80",717,"0,50","7,69%"

225,APERIT. BAT. FRITA CHURR. SUPER DOURADA 16X150 GR,Alimentos,"2.276,09",2.452,"1,13","7,73%"

226,MAYONAISE ZAANSE BISNAGA 24X180 ML,Alimentos,"1.737,50",1.873,"1,00","7,80%"

227,BOL. TIFFANY NUTTY BITES CAJU 24X90 GR,Alimentos,"1.483,08",1.599,"0,62","7,82%"

228,DROPS DORI RECH. YOG. 100 MOR. (R_ 152) 30X150GR,CONFEITARIAS,"1.439,29",1.552,"4,11","7,83%"

229,FEIJ_O ERVILHA MOCITOS LTA 24X425 GR,Alimentos,"1.233,35",1.330,"0,50","7,84%"

